lid,zd,vdatum,lat,lon,elev
CRVA2,,,60.558333,145.753333,0
CSFA2,,,61.167222222222,149.77055555556,260
CSRA2,520,NGVD29,61.148889,149.729444,520
CSSA2,,,61.163888888889,149.77777777778,258
CTLA2,0,,61.6,149.31666666667,325
CTOA2,1900,,62.605,144.63333333333,1900
CTUA2,,,61.273611111111,142.62083333333,4554
CUIA2,,,61.216666666667,151.63333333333,1540
CWKS,,,58.25,122.72,0
CWRA2,,,62.933333333333,146.95,2650
CWWA2,,,60.535833333333,145.77805555556,10
CXCA2,,,61.522222222222,144.44027777778,599
CYDA,,,64.05,139.13,1210
CZOA2,,,62.565277777778,144.66472222222,2300
DADA2,,,61.85,144.81666666667,2160
DBHA2,,,59.0374,158.462,28
DCHA2,,,62.6,150.85,3100
DEMA2,,,59.666666666667,151.65,780
DLHA2,,NGVD29,59.935555555556,158.18777777778,325
DNVA2,,,62.6,150.23333333333,700
DRDA2,700,NGVD29,60.5925,152.55166666667,700
DRFA2,,,60.553333333333,152.405,0
DRUA2,1100,NGVD29,60.571111111111,152.76333333333,1100
DSHA2,80,,61.784722222222,150.33694444444,80
DSRA2,80,,61.784722222222,150.33694444444,80
DUTA2,,,53.904166666667,166.50972222222,0
EADA2,,,61.298888888889,149.52722222222,106
EALA2,,,59.816666666667,151.13333333333,1400
EGGA2,,,58.039722,156.845,0
EGHA2,,,61.819166666667,145.21361111111,1467
EKLA2,,NGVD29,61.410833,149.122222,859.8
ELDA2,,,63.05,150.05,3400
ELPA2,0,,61.293055555556,149.77361111111,192
ENKA2,,,61.733333333333,144.98333333333,1300
EOGA2,,NGVD29,61.450277777778,149.36722222222,100
ERBA2,250,NGVD29,61.310278,149.576944,250
ERDA2,,,61.298611111111,149.52722222222,101
ERLA2,,,61.310833,149.687778,12
ERPA2,,,61.234444444444,149.27083333333,520
ERTA2,,,61.319166666667,149.54361111111,567
ESFA2,,,61.259722222222,149.47666666667,1610
EXTA2,490,NGVD29,60.186667,149.625,490
EYAA2,90,NGVD29,60.531111,145.644444,90
EYKA2,,,60.55,145.73333333333,1405
EYLA2,,,60.551389,145.691389,0
EYRA2,,,60.521389,145.635278,0
FAFA2,,,59.110833333333,154.83666666667,2018
FGLA2,,,62.783333333333,148.46666666667,2120
FHKA2,,,61.783333333333,149.28333333333,3300
FHTA2,,,60.5,154.33333333333,1800
FILA2,,,59.331666666667,151.995,0
FISA2,,,62.258888888889,150.04694444444,0
FLDA2,,,63.2,145.63333333333,3000
FOJA2,0,,60.096111111111,149.31916666667,103
FRKA2,,,58.366666666667,155.38333333333,900
FTSA2,,,60.640277777778,149.50333333333,1336
FUNA2,,,60.482222222222,150.80555555556,275
FWLA2,,,62.723333333333,154.07666666667,775
GAHA2,,,61.099166666667,149.69027777778,2280
GAKA2,1409.15,NAVD88,62.301389,145.307222,1403.2
GCGA2,0,,60.961667,149.131389,100
GCOA2,,,60.532797,145.380615,200
GCRA2,0,,60.266666666667,149.35,700
GCSA2,,NGVD29,62.767778,149.691111,676.5
GDKA2,,,62.767777777778,149.69111111111,0
GERA2,,,61.311666666667,149.57472222222,200
GFKA2,,,61.418611,148.443889,830
GGLA2,,,61.602777777778,143.01333333333,4060
GHYA2,,,62.106388888889,145.86583333333,0
GICQ9,,,61.196667,136.987222,3010
GIRA2,0,,60.939166666667,149.16805555556,50
GIRD1,0,,60.939166666667,149.16805555556,50
GKNA2,,,62.981944444444,144.4875,3025
GKRA2,,,61.493888888889,149.2425,25
GLCA2,200,NGVD29,60.180277777778,149.37944444444,200
GLNA2,,,62.108611111111,145.53277777778,1383
GLPA2,,,61.1,149.69361111111,2202
GMTA2,,,61.832777777778,147.40388888889,3225
GPOA2,,,62.858333,145.616667,2038
GPTA2,,,61.016666666667,151.45,250
GRAA2,,,60.7275,149.28694444444,669
GROA2,250,NGVD29,60.198333,149.373333,250
GRSA2,1845.96,NGVD29,62.520833,145.530833,1846
GRVA2,,,60.616666666667,149.06666666667,1100
GRZA2,,,61.283055555556,149.61666666667,453
GULA2,1366.3,NGVD29,62.268889,145.380556,1366.3
GWSA2,,,61.311666666667,149.87555555556,281
HAFA2,,,62.283333333333,150.18333333333,350
HAPA2,,,61.77,149.8,1210
HATA2,0,,61.791666666667,149.27972222222,3450
HBHA2,,,59.6025,151.41111111111,0
HGGA2,,,62.7,145.45,2540
HILA2,,,61.116111111111,149.68555555556,2080
HKLA2,,,61.585,149.84777777778,254
HMEA2,0,,59.749166666667,151.20111111111,854
HMRA2,,,59.601388888889,151.41583333333,0
HNE,,,44.3464,-73.0733,784
HRDA2,,,60.166388888889,149.75222222222,4300
HRHA2,,,61.107777777778,149.845,1025
HRPA2,,,62.133333333333,147.63333333333,4300
IGGA2,,,59.328888888889,155.89916666667,45
ILRA2,,NGVD29,59.758611,153.844722,80
INPA2,,,61.083333333333,149.48333333333,2350
IZYA2,,,61.633333333333,149.03333333333,790
JCTA2,,,62.293055555556,145.335,0
JHNA2,,,60.27,151.2675,150
JNLA2,,,60.510555555556,150.17638888889,417
JORA2,,NGVD29,60.094722,152.910556,450
KAMA2,,,59.153888888889,154.25888888889,50
KCHA2,,,59.604444,151.413611,0
KCKA2,,,59.728888888889,150.66111111111,1660
KDDA2,,,57.731666666667,152.51166666667,0
